"master_row_id","source_track","company_display_name","ats_company_key","resolver_company_key","source_kind","ats_provider","ats_board_slug","careers_url_canonical","homepage_url","domain","ingestion_status","promotion_source","promoted_at","approval_rule_set"
"ats:legacy__ashby__abridge","ats_bridge","Abridge","legacy__ashby__abridge","","ats_api","ashby","abridge","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__aerovect","ats_bridge","Aerovect","legacy__ashby__aerovect","","ats_api","ashby","aerovect","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__aetherflux","ats_bridge","Aetherflux","legacy__ashby__aetherflux","","ats_api","ashby","aetherflux","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__aim","ats_bridge","Aim","legacy__ashby__aim","","ats_api","ashby","aim","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__airbound","ats_bridge","Airbound","legacy__ashby__airbound","","ats_api","ashby","airbound","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__airops","ats_bridge","Airops","legacy__ashby__airops","","ats_api","ashby","airops","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__alta-ares","ats_bridge","Alta Ares","legacy__ashby__alta-ares","","ats_api","ashby","alta-ares","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__altura","ats_bridge","Altura","legacy__ashby__altura","","ats_api","ashby","altura","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__Antares","ats_bridge","Antares","legacy__ashby__Antares","","ats_api","ashby","Antares","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__arxlight-ai","ats_bridge","Arxlight Ai","legacy__ashby__arxlight-ai","","ats_api","ashby","arxlight-ai","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__atlan","ats_bridge","Atlan","legacy__ashby__atlan","","ats_api","ashby","atlan","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__aureliussystems","ats_bridge","Aureliussystems","legacy__ashby__aureliussystems","","ats_api","ashby","aureliussystems","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__backflip.ai","ats_bridge","Backflip.Ai","legacy__ashby__backflip.ai","","ats_api","ashby","backflip.ai","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__bedrock-robotics","ats_bridge","Bedrock Robotics","legacy__ashby__bedrock-robotics","","ats_api","ashby","bedrock-robotics","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__Blacksmith","ats_bridge","Blacksmith","legacy__ashby__Blacksmith","","ats_api","ashby","Blacksmith","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__bliro","ats_bridge","Bliro","legacy__ashby__bliro","","ats_api","ashby","bliro","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__breaker","ats_bridge","Breaker","legacy__ashby__breaker","","ats_api","ashby","breaker","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__brinc","ats_bridge","Brinc","legacy__ashby__brinc","","ats_api","ashby","brinc","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__built-robotics","ats_bridge","Built Robotics","legacy__ashby__built-robotics","","ats_api","ashby","built-robotics","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__callosum","ats_bridge","Callosum","legacy__ashby__callosum","","ats_api","ashby","callosum","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__campfire","ats_bridge","Campfire","legacy__ashby__campfire","","ats_api","ashby","campfire","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__character","ats_bridge","Character","legacy__ashby__character","","ats_api","ashby","character","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__charge-robotics","ats_bridge","Charge Robotics","legacy__ashby__charge-robotics","","ats_api","ashby","charge-robotics","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__clasp-group","ats_bridge","Clasp Group","legacy__ashby__clasp-group","","ats_api","ashby","clasp-group","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
"ats:legacy__ashby__close","ats_bridge","Close","legacy__ashby__close","","ats_api","ashby","close","","","","promoted","ats:isApprovedProductionAtsRegistryRow","2026-04-11T16:18:24.132Z","ats_registry_v1"
